area;pop;density;road;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;dep
11.69;2769.22;316.82;51350.39;16.92;7.83;98.76;0.47;389.47;77
9.37;6681.08;953.46;64932.72;31.97;19.06;229.61;0.51;460.95;91
8.9;5553.15;743.48;58548.17;30.58;16.32;189.08;0.53;332.12;78
6.81;6677.27;1127.27;52651.05;25.43;17.67;246.09;0.45;505.75;95
4.86;44702.94;11258.58;103498.01;100.78;167.53;1547.11;0.42;1280.19;92
5.23;29530.34;7193.86;99188.46;69.94;82.77;1046.64;0.45;865.95;94
5.93;40577.78;7964.74;123896.58;95.67;115.38;1625.7;0.35;881.28;93
5.24;109376.3;23443.88;129769.72;182.15;683.05;6215.55;0.26;10.35;75
