area;pop;density;road;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;er_bs;ms_walk_bs;insee
2.3073385;24564.0;10646.032214172305;57630.2734246945;65.0;45.0;556.0;0.4150943396226415;0.0;693372.6067895449;0.3705634152395135;100001
6.565409;33286.0;5069.905012772243;118100.84270943244;118.0;86.0;987.0;0.4772727272727273;7141.454550106205;2608920.7733026077;0.34078969666158276;100002
2.89471;23771.0;8211.876146487904;56447.27153918648;61.0;72.0;827.0;0.2608695652173913;2129.853023529138;1894719.4054824114;0.41097456416118894;100003
2.7245975;17869.0;6558.399910445489;56939.3010818293;50.0;47.0;508.0;0.5084745762711864;0.0;540609.887862161;0.34130194924604634;100004
5.938465;120071.0;20219.198058757607;134322.43119091238;176.0;572.0;4961.0;0.4688128772635815;438.8406892031623;4353310.312997347;0.368594560527464;100005
6.9521635;92909.0;13421.139075877003;177306.36667123908;256.0;584.0;3548.0;0.48812190049592064;244.72169777557727;4862026.957489881;0.3859671143466801;100006
5.8931575;97620.0;17393.38091859705;140282.68211434432;188.0;375.0;2959.0;0.38527905785970296;0.0;3142560.2676308146;0.3643125;100007
25.245367;298902.0;14496.333717115273;591797.7070486443;677.0;1563.0;10433.0;0.43077462614528683;9175.918169540739;16776320.385156302;0.3895430333613681;100008
28.030841;282116.0;11747.148397010702;576565.9076166668;553.0;1173.0;10910.0;0.36253789339901865;9659.649665262976;13789396.49011936;0.36485426471802496;100009
54.48688899999999;605486.0;14123.316716740994;1289728.7229798203;1275.0;2562.0;21624.0;0.39438259349683263;20502.46875248673;35375457.55630267;0.3955273763884793;100010
105.21358300000003;1036832.0;11894.174975834721;2252790.033850554;2128.0;4422.0;38261.0;0.41042238703806116;29723.389381965033;60612666.266866334;0.383726442363279;100012
98.94523950000001;860763.0;11232.147744618005;2126933.0047403397;1953.0;2836.0;28181.0;0.43707235895993585;18563.764070078556;42238199.293360524;0.359705411553259;100013
174.82069049999998;1609306.0;11258.578982221357;3725928.201053292;3628.0;6031.0;55696.0;0.4232593537420717;46087.0089283191;86345761.58171767;0.376089836178445;100014
5.4869615;38720.0;7056.728938229292;98063.26221185247;93.0;74.0;1411.0;0.2605042016806723;0.0;1194589.979338445;0.43620466321243523;100015
1.483292;23045.0;15536.387980249336;35379.008860402086;27.0;46.0;932.0;0.3695652173913043;0.0;410202.6367104051;0.38804038312192596;100016
3.363195;30306.0;9011.074290964396;87326.3883687854;71.0;60.0;1196.0;0.2417582417582417;0.0;1132542.2860310406;0.44006705783738476;100017
6.600664999999999;63065.0;7953.997823580756;152661.40141206898;143.0;130.0;2304.0;0.28500000000000003;350.6951325241561;2362791.295230865;0.4190668202764977;100020
10.59313;60508.0;5894.705908922015;269886.89323424833;155.0;100.0;2143.0;0.42708333333333337;0.0;2229503.328449887;0.342714196372733;100021
26.429545;138496.0;5322.766990804449;555867.131215895;323.0;258.0;4759.0;0.4637206148282098;99.2796838631933;5314998.8369479515;0.37076320036891863;100022
24.014632000000002;155132.0;6223.075646100004;511724.0892980595;412.0;357.0;6070.0;0.4369343477035784;4829.294030051845;9403793.412025884;0.37424010667921714;100023
63.55302449999999;372334.0;6007.598241089556;1466699.5597467364;1001.0;800.0;14251.0;0.4364248992795401;10349.591403395467;18588707.325479094;0.3786338620912917;100024
62.98179349999999;367608.0;5892.968024495668;1295853.815964205;945.0;831.0;13976.0;0.32496851271666266;12268.277135425733;20991191.05610582;0.3954713804713805;100025
121.237527;1017505.0;8399.916009839197;2619011.3353382116;2232.0;3194.0;42141.0;0.2736314568954948;24816.56509379943;54959397.100844674;0.42504277474320457;100026
237.13293199999998;1623111.0;7964.739591929583;4955863.387945638;3827.0;4615.0;65028.0;0.3519173476479774;35251.02560731746;84398785.57350242;0.4067991002828319;100028
1.814309;30374.0;16741.359933726835;49857.06228933174;51.0;94.0;1144.0;0.3373493975903614;656.4439213724008;2526094.1207651068;0.37792848335388407;100029
5.8582325;17950.0;3064.06411831555;105826.66768789072;83.0;60.0;652.0;0.3050847457627119;1728.0168744635416;1729194.9239273616;0.3981362467866324;100030
3.800398;43881.0;11546.422243144008;79160.81904215981;47.0;109.0;1644.0;0.330188679245283;0.0;892841.7293650439;0.36465821461246894;100031
5.333779;52570.0;9775.372542615154;152260.78718066332;143.0;193.0;1663.0;0.4574712643678161;799.7572134856109;3412416.147732392;0.3933797909407665;100034
0.772477;20900.0;27055.821726731025;22804.88486628595;26.0;341.0;2100.0;0.3076923076923077;0.0;241283.19630777912;0.5092847317744154;100043
1.080191;34115.0;31582.377561005414;30441.00678188472;42.0;254.0;2577.0;0.2142857142857142;0.0;502723.1105064627;0.4906981027813594;100044
8.395038;233392.0;27801.18446158314;234958.05882046887;332.0;1251.0;9981.0;0.3076923076923077;0.0;6318019.8696106775;0.4655245930422133;100045
