area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
10.839914;373;34.409867089351444;0;0;9;1.0;0.0;95102.0
10.9604925;882;80.47083650666245;0;0;10;0.0;0.0;77418.0
4.313525;2368;548.9709692189102;0;12;55;0.65;0.0;77259.0
3.2142805;9679;3011.2493293600232;3;20;263;0.4666666666666667;0.0;95250.0
4.833317;614;127.03491204901313;0;0;16;1.5;0.0;78082.0
8.92733;9920;1111.1945004833472;5;23;345;0.6521739130434783;0.0;77153.0
16.383598;14206;867.0867046420451;0;32;494;0.4666666666666667;0.0;77407.0
4.3446305;523;120.37847637445807;0;0;16;0.0;0.0;78677.0
8.99005;1316;146.3840579307123;0;4;31;0.5;0.0;77254.0
25.6505485;85862;3347.374813446972;7;313;3384;0.5035460992907801;1066.726923426045;78646.0
8.0627595;875;108.52363883605854;0;2;32;0.7777777777777778;399.91511646622473;77156.0
2.1225265;1564;736.8577023655535;0;11;40;0.75;0.0;78343.0
9.9961465;5018;501.99344317332685;0;9;155;0.6071428571428571;0.0;95134.0
3.5809775;5771;1611.571142237001;0;9;119;0.5555555555555556;0.0;95388.0
28.275093;1109;39.22179849240461;0;0;28;1.0;0.0;77177.0
10.1506;1577;155.3602742695013;0;4;53;0.6666666666666666;0.0;78128.0
26.856572;870;32.39430557258015;0;3;26;0.0;4131.00659309414;78506.0
11.634301;197;16.932688951403268;0;0;6;0.0;0.0;77158.0
11.896857;2778;233.50705148427016;0;3;80;0.8181818181818182;0.0;95566.0
2.629886;8699;3307.7479404050214;0;18;289;0.631578947368421;0.0;78092.0
19.661675;658;33.466121274001324;0;0;17;0.0;0.0;77020.0
10.2289055;7214;705.2562955049297;0;10;215;0.7777777777777778;2692.407457079124;77249.0
10.849096;8191;754.9937801269341;0;39;258;0.5;2063.7379955766082;78322.0
7.2357555;27228;3762.9795534136;0;50;839;0.5555555555555556;44.68780214806202;94044.0
8.0107785;4394;548.5109842944727;0;39;479;0.2;0.0;78168.0
12.439055;95105;7645.677264068693;3;467;3230;0.3765182186234818;8931.19647176516;92050.0
7.649382;1201;157.00614768617908;0;2;52;0.0;0.0;78010.0
6.6299795;528;79.63825529173958;0;6;20;0.5;0.0;95271.0
3.810226;957;251.1662037894865;0;5;37;0.3333333333333333;0.0;95101.0
11.733827;1269;108.14885885056938;1;4;44;0.5;0.0;91599.0
10.2267815;21835;2135.080328058246;0;72;738;0.5;0.0;77152.0
6.530456;25669;3930.65966603251;4;57;799;0.47540983606557374;0.0;91114.0
1.5026805;25334;16859.205932332254;4;74;853;0.2923076923076923;0.0;94043.0
8.964247;590;65.81701731333374;0;1;18;1.0;0.0;78236.0
7.4667715;1963;262.89809457809173;0;4;61;0.5555555555555556;0.0;77241.0
3.250249;74;22.767486429501247;0;0;4;0.0;0.0;95144.0
3.5455865;9701;2736.0776559815986;0;26;347;0.7142857142857143;0.0;78190.0
6.0746735;62052;10214.869984370353;19;245;2437;0.3401360544217687;189.12409960838562;94041.0
13.564673;327;24.1067366681084;0;0;10;0.0;0.0;77110.0
20.7067745;557;26.899409176450924;0;0;20;0.6428571428571429;0.0;77164.0
4.687463;622;132.69438073431192;0;1;17;1.0;0.0;78281.0
11.8459575;640;54.026869503794856;0;1;22;0.0;1435.566323838749;78668.0
8.962061;226;25.21741371767052;0;1;5;0.0;0.0;77489.0
9.3298545;15577;1669.5865943032659;0;26;386;0.5094339622641509;0.0;78642.0
10.8071055;3566;329.9680936768869;1;11;154;0.6666666666666666;0.0;77257.0
5.2504055;26783;5101.129807973879;11;50;1165;0.36923076923076925;0.0;93047.0
3.1082085;208;66.91957762807739;0;0;13;0.0;0.0;95447.0
