geo_point_2d;geo_shape;objectid_1;objectid;numero;nom;larg;sens;chauss;tunnel;shape_leng;niveau_route;code_statu;gestionn;statut_2;statut;shape_len
48.8030034439, 2.4485060656;"{""coordinates"": [[2.448444966832468, 48.80417059175219], [2.44867806599898, 48.80377790999783], [2.448604448069854, 48.80319739217375], [2.448401448906171, 48.80259808873809], [2.448329262449061, 48.80228405236055], [2.448372206417673, 48.80207450552287], [2.448472007663602, 48.80180799750784]], ""type"": ""LineString""}";6397;186137;0;A86;0;;0;0;269.31264204;0;500;;;bretelle autoroute / voie rapide;269.312642032
48.7638980191, 2.34390909907;"{""coordinates"": [[2.344235743748203, 48.762836885623216], [2.343883073977727, 48.7638075658541], [2.343724199964196, 48.764635671067026], [2.343717447764579, 48.76498779127594]], ""type"": ""LineString""}";6409;186493;88075;A106;2;D;2;0;242.96070682;0;501;Etat;Autoroute DIRIF;autoroute;242.960706821
48.7548573656, 2.50558223771;"{""coordinates"": [[2.505076544401926, 48.755284972537616], [2.505781154726032, 48.75476663937146], [2.50569912655526, 48.754640862315846], [2.505866179993951, 48.7545249052385], [2.506041905548207, 48.75445956356]], ""type"": ""LineString""}";6416;186540;88025;N19;2;D;2;0;125.34643373;0;503;Etat;Voie structurante SDRIF;nationale;125.346433725
48.7850451238, 2.15529933428;"{""coordinates"": [[2.15430143727878, 48.78550488183325], [2.156297231273037, 48.784585365736866]], ""type"": ""LineString""}";6902;195253;122064;A86;3;D;2;0;178.7627332;0;501;Etat;Voie rapide DIRIF;autoroute;178.762733197
48.8002896654, 1.96677402081;"{""coordinates"": [[1.965371258946697, 48.800617037408685], [1.965664992692534, 48.8003628219789], [1.966111413801743, 48.80028291568426], [1.9668968736752, 48.800260107685126], [1.968262843942945, 48.80020425247256]], ""type"": ""LineString""}";5927;174848;0;N12;2;>;1;0;227.80971755;0;500;;;bretelle autoroute / voie rapide;227.809717543
48.7818669426, 2.43891381183;"{""coordinates"": [[2.437400033950611, 48.78152373668442], [2.437546748560405, 48.78173669837218], [2.437705419604805, 48.781974370547545], [2.438094291260475, 48.78206914969464], [2.438685157090255, 48.7819639463932], [2.439735987003953, 48.781791786807496], [2.44063396443911, 48.78172246429445]], ""type"": ""LineString""}";6431;186885;85527;A86;2;>;1;0;276.30309496;0;500;;;bretelle autoroute / voie rapide;276.303094956
48.7575118072, 2.47396167362;"{""coordinates"": [[2.469596404904637, 48.759478645544434], [2.470153325594714, 48.75824577287283], [2.470648234791025, 48.757674152225725], [2.471165825324272, 48.75732149373452], [2.471884409968895, 48.75711128167945], [2.472604272349276, 48.7570628532456], [2.473727676931802, 48.75723286166272], [2.474633748013134, 48.7571936195261], [2.476505566195755, 48.75719133494867], [2.477757993232317, 48.757294473756346], [2.479223856186568, 48.757716843797986]], ""type"": ""LineString""}";6437;187085;0;N406;0;;0;0;881.29657995;0;502;Etat;;voie rapide;881.296579947
48.8306721146, 2.49145245278;"{""coordinates"": [[2.493131905800163, 48.83063195223852], [2.490927398352913, 48.83070648244059], [2.489773512088179, 48.83064880983723]], ""type"": ""LineString""}";6450;187178;0;;0;;0;0;246.99497439;0;0;;;autre voie;246.994974399
48.8301578632, 2.4853583273;"{""coordinates"": [[2.48101853253693, 48.8292142456327], [2.482393745644556, 48.82964231646794], [2.48502923542326, 48.83024044686385], [2.486025106790916, 48.8304312240567], [2.486607132679029, 48.83047595606151], [2.489773512088179, 48.83064880983723]], ""type"": ""LineString""}";6451;187219;0;;0;;0;0;668.57867108;0;0;;;autre voie;668.578671076
48.7911450669, 2.10941747993;"{""coordinates"": [[2.109666486037974, 48.791259265154416], [2.109334965592441, 48.79120851333228], [2.109270902420677, 48.79108058923745], [2.109464573918395, 48.79095317931464]], ""type"": ""LineString""}";5462;162216;0;;0;;0;0;60.0609336;0;500;;;bretelle autoroute / voie rapide;60.0609335954
