area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
4.189766;5865;1399.8395137103123;1;15;197;0.5;135.97880317077264662.4962594480147542.831716937114394.17367166350508331.6418754859328331.79935597946195412.506446663282128.28162831998897559.40051817725422529.318913342380970.12481533865923152.8809296459176;91207.0
22.6467825;834;36.82642335616549;0;0;30;0.6097560975609756;0;78125.0
12.6196205;608;48.17894484227953;0;2;26;0.5;0;78071.0
5.2252;18321;3506.2772716833806;8;54;780;0.4230769230769231;0;94019.0
13.381767;806;60.23120862887539;0;2;33;0.875;0;77161.0
3.868698;205;52.989403670175335;0;0;4;0.0;0;77029.0
7.8808295;195;24.74358822253419;0;1;7;0.3333333333333333;0;77136.0
10.8708205;51292;4718.319100200394;4;151;1949;0.4642857142857143;466.5953980286392491.8569249108993819.444444444444443160.29137814377697113.8442187318773241.5036507156166243.11900787049586216.68476616532814179.50257793626307115.1603147448647137.3424037859149755.71435879102982455.5742583989485177.75422221048518220.6944146966306247.79430568846020622.31896884302873172.61710348616887189.00057827658895176.3683969326590.348323236702331.76829116692558187.6745254849318213.88888888888889322.79970010241004132.80442536757178225.28139479778338317.22358058558495163.44451295888285343.88608807504977159.71965477401886;91174.0
2.0409595;16594;8130.489605501726;6;63;688;0.4406779661016949;34.171579756699722.22222222222222269.916408872475495.267766887653773.325791073539522.79142285105341522.22222222222222107.8686100866812753.46821470937106112.44479784256475;93013.0
9.958835;9892;993.2888736483735;0;27;327;0.543859649122807;170.8329865503725234.98392206682547180.42530732978423252.0800786335446503.8439456007067262.7323811174283;95394.0
4.9832905;509;102.14134616474797;0;0;10;1.0;0;78036.0
12.163732;242;19.895209792520916;0;1;5;0.0;0;77137.0
15.9089705;27379;1720.9787396362321;0;97;828;0.4492753623188406;66.27870624326897362.24019322870737146.5511759176192262.8681871559845199.0221556658348250.48968274262335118.0269891187321115.94786046306834;77058.0
10.409387;211;20.2701657648044;0;7;94;0.0;0;77518.0
12.8607;584;45.40965888326452;0;0;12;0.6666666666666666;0;77451.0
7.0029345;425;60.68884408386227;0;1;10;0.8333333333333334;0;91098.0
8.3743335;268;32.00254682954769;0;1;8;0.0;0;77367.0
3.126204;1133;362.4203666811251;10;4;42;0.3333333333333333;0;77528.0
32.0690125;2150;67.04291253121686;0;3;84;0.5;0;77168.0
12.615614;1237;98.05309515652587;0;3;51;1.0;0;77180.0
15.0257175;961;63.95701236896008;0;1;20;0.0;0;77044.0
7.2794945;39358;5406.694104927204;0;62;1375;0.3541666666666667;0;93032.0
6.364729;452;71.01637791648318;0;1;24;0.0;0;78561.0
11.4329405;4911;429.5482863747957;0;6;168;1.1428571428571428;0;78571.0
9.903066;2122;214.27707338313203;0;4;90;1.0;67.1707737466322298.729887158117356.84242760651308424.468722059645238119.49807621570352140.60146321762542;77517.0
3.4924695;27567;7893.2686455815865;0;64;1170;0.1896551724137931;60.9778373272101556.62230197313242268.65722843460264109.98159175843828169.5631310572341619.144326749742151.34098601578122.4353067592944257.68285540137214155.2514232899587550.39696418808462;93063.0
7.3952765;297;40.16077018891721;0;0;7;0.6;132.92174937206457176.29054589285332444.182190507786618.7146566870473327.37757397965885527.792256869078538.91149862023829;95610.0
30.061937;1832;60.94085021866688;0;3;43;0.6666666666666666;0;77339.0
10.839914;373;34.409867089351444;0;0;9;1.0;0;95102.0
10.9604925;882;80.47083650666245;0;0;10;0.0;0;77418.0
4.313525;2368;548.9709692189102;0;12;55;0.65;0;77259.0
3.2142805;9679;3011.2493293600232;3;20;263;0.4666666666666667;0;95250.0
4.833317;614;127.03491204901313;0;0;16;1.5;0;78082.0
8.92733;9920;1111.1945004833472;5;23;345;0.6521739130434783;0;77153.0
16.383598;14206;867.0867046420451;0;32;494;0.4666666666666667;0;77407.0
4.3446305;523;120.37847637445807;0;0;16;0.0;0;78677.0
8.99005;1316;146.3840579307123;0;4;31;0.5;0;77254.0
25.6505485;85862;3347.374813446972;7;313;3384;0.5035460992907801;166.721695633526330.2189024525492390.22785636575918145.368799240854544.2717728250575525.0192.993948640770335.5850699122138779.11107741028172110.8504080336664827.75036971670277824.19044869169408780.5476856140803113.88888888888889;78646.0
8.0627595;875;108.52363883605854;0;2;32;0.7777777777777778;399.91511646622473;77156.0
2.1225265;1564;736.8577023655535;0;11;40;0.75;0;78343.0
9.9961465;5018;501.99344317332685;0;9;155;0.6071428571428571;0;95134.0
3.5809775;5771;1611.571142237001;0;9;119;0.5555555555555556;0;95388.0
